DATASET_NAME,SOURCE,SENSOR,PARAMETER,PROJ_NAME,SDPN,DS_SHORT_NAME,TOPIC,TERM,SOURCE_TYPE
RSS SSM/I OCEAN PRODUCT GRIDS MONTHLY AVERAGE FROM DMSP F15 NETCDF,DMSP-F15,SSM/I,WATER VAPOR,DISCOVER,,rssmif15m,ATMOSPHERE,ATMOSPHERIC WATER VAPOR,SATELLITE
RSS SSM/I OCEAN PRODUCT GRIDS MONTHLY AVERAGE FROM DMSP F15 NETCDF,DMSP-F15,SSM/I,RAIN,DISCOVER,,rssmif15m,ATMOSPHERE,PRECIPITATION,SATELLITE
RSS SSM/I OCEAN PRODUCT GRIDS WEEKLY AVERAGE FROM DMSP F15 NETCDF,DMSP-F15,SSM/I,SURFACE WINDS,DISCOVER,,rssmif15w,ATMOSPHERE,ATMOSPHERIC WINDS,SATELLITE
RSS SSM/I OCEAN PRODUCT GRIDS WEEKLY AVERAGE FROM DMSP F15 NETCDF,DMSP-F15,SSM/I,CLOUD LIQUID WATER/ICE,DISCOVER,,rssmif15w,ATMOSPHERE,CLOUDS,SATELLITE
RSS SSM/I OCEAN PRODUCT GRIDS WEEKLY AVERAGE FROM DMSP F15 NETCDF,DMSP-F15,SSM/I,WATER VAPOR,DISCOVER,,rssmif15w,ATMOSPHERE,ATMOSPHERIC WATER VAPOR,SATELLITE
RSS SSM/I OCEAN PRODUCT GRIDS WEEKLY AVERAGE FROM DMSP F15 NETCDF,DMSP-F15,SSM/I,RAIN,DISCOVER,,rssmif15w,ATMOSPHERE,PRECIPITATION,SATELLITE
RSS SSM/I OCEAN PRODUCT GRIDS DAILY FROM DMSP F14 NETCDF,DMSP-F14,SSM/I,SURFACE WINDS,DISCOVER,,rssmif14d,ATMOSPHERE,ATMOSPHERIC WINDS,SATELLITE
RSS SSM/I OCEAN PRODUCT GRIDS DAILY FROM DMSP F14 NETCDF,DMSP-F14,SSM/I,CLOUD LIQUID WATER/ICE,DISCOVER,,rssmif14d,ATMOSPHERE,CLOUDS,SATELLITE
RSS SSM/I OCEAN PRODUCT GRIDS DAILY FROM DMSP F14 NETCDF,DMSP-F14,SSM/I,WATER VAPOR,DISCOVER,,rssmif14d,ATMOSPHERE,ATMOSPHERIC WATER VAPOR,SATELLITE
RSS SSM/I OCEAN PRODUCT GRIDS DAILY FROM DMSP F14 NETCDF,DMSP-F14,SSM/I,RAIN,DISCOVER,,rssmif14d,ATMOSPHERE,PRECIPITATION,SATELLITE
RSS SSM/I OCEAN PRODUCT GRIDS 3-DAY AVERAGE FROM DMSP F14 NETCDF,DMSP-F14,SSM/I,SURFACE WINDS,DISCOVER,,rssmif14d3d,ATMOSPHERE,ATMOSPHERIC WINDS,SATELLITE
RSS SSM/I OCEAN PRODUCT GRIDS 3-DAY AVERAGE FROM DMSP F14 NETCDF,DMSP-F14,SSM/I,CLOUD LIQUID WATER/ICE,DISCOVER,,rssmif14d3d,ATMOSPHERE,CLOUDS,SATELLITE
RSS SSM/I OCEAN PRODUCT GRIDS 3-DAY AVERAGE FROM DMSP F14 NETCDF,DMSP-F14,SSM/I,WATER VAPOR,DISCOVER,,rssmif14d3d,ATMOSPHERE,ATMOSPHERIC WATER VAPOR,SATELLITE
RSS SSM/I OCEAN PRODUCT GRIDS 3-DAY AVERAGE FROM DMSP F14 NETCDF,DMSP-F14,SSM/I,RAIN,DISCOVER,,rssmif14d3d,ATMOSPHERE,PRECIPITATION,SATELLITE
RSS SSM/I OCEAN PRODUCT GRIDS MONTHLY AVERAGE FROM DMSP F14 NETCDF,DMSP-F14,SSM/I,SURFACE WINDS,DISCOVER,,rssmif14m,ATMOSPHERE,ATMOSPHERIC WINDS,SATELLITE
RSS SSM/I OCEAN PRODUCT GRIDS MONTHLY AVERAGE FROM DMSP F14 NETCDF,DMSP-F14,SSM/I,CLOUD LIQUID WATER/ICE,DISCOVER,,rssmif14m,ATMOSPHERE,CLOUDS,SATELLITE
RSS SSM/I OCEAN PRODUCT GRIDS MONTHLY AVERAGE FROM DMSP F14 NETCDF,DMSP-F14,SSM/I,WATER VAPOR,DISCOVER,,rssmif14m,ATMOSPHERE,ATMOSPHERIC WATER VAPOR,SATELLITE
RSS SSM/I OCEAN PRODUCT GRIDS MONTHLY AVERAGE FROM DMSP F14 NETCDF,DMSP-F14,SSM/I,RAIN,DISCOVER,,rssmif14m,ATMOSPHERE,PRECIPITATION,SATELLITE
RSS SSM/I OCEAN PRODUCT GRIDS WEEKLY AVERAGE FROM DMSP F14 NETCDF,DMSP-F14,SSM/I,SURFACE WINDS,DISCOVER,,rssmif14w,ATMOSPHERE,ATMOSPHERIC WINDS,SATELLITE
RSS SSM/I OCEAN PRODUCT GRIDS WEEKLY AVERAGE FROM DMSP F14 NETCDF,DMSP-F14,SSM/I,CLOUD LIQUID WATER/ICE,DISCOVER,,rssmif14w,ATMOSPHERE,CLOUDS,SATELLITE
RSS SSM/I OCEAN PRODUCT GRIDS WEEKLY AVERAGE FROM DMSP F14 NETCDF,DMSP-F14,SSM/I,WATER VAPOR,DISCOVER,,rssmif14w,ATMOSPHERE,ATMOSPHERIC WATER VAPOR,SATELLITE
RSS SSM/I OCEAN PRODUCT GRIDS WEEKLY AVERAGE FROM DMSP F14 NETCDF,DMSP-F14,SSM/I,RAIN,DISCOVER,,rssmif14w,ATMOSPHERE,PRECIPITATION,SATELLITE
GRIP BARBADOS/CAPE VERDE RADIOSONDE,BALLOONS,RADIOSONDES,ATMOSPHERIC PRESSURE MEASUREMENTS,GRIP,,gripradio,ATMOSPHERE,ATMOSPHERIC PRESSURE,BALLOON/ROCKET
GRIP BARBADOS/CAPE VERDE RADIOSONDE,BALLOONS,RADIOSONDES,AIR TEMPERATURE,GRIP,,gripradio,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,BALLOON/ROCKET
GRIP BARBADOS/CAPE VERDE RADIOSONDE,BALLOONS,RADIOSONDES,HUMIDITY,GRIP,,gripradio,ATMOSPHERE,ATMOSPHERIC WATER VAPOR,BALLOON/ROCKET
GRIP BARBADOS/CAPE VERDE RADIOSONDE,BALLOONS,RADIOSONDES,FLIGHT LEVEL WINDS,GRIP,,gripradio,ATMOSPHERE,ATMOSPHERIC WINDS,BALLOON/ROCKET
GRIP BARBADOS/CAPE VERDE RADIOSONDE,BALLOONS,RADIOSONDES,UPPER LEVEL WINDS,GRIP,,gripradio,ATMOSPHERE,ATMOSPHERIC WINDS,BALLOON/ROCKET
GRIP BARBADOS/CAPE VERDE RADIOSONDE,BALLOONS,RADIOSONDES,SURFACE LEVEL WINDS,GRIP,,gripradio,ATMOSPHERE,ATMOSPHERIC WINDS,BALLOON/ROCKET
GRIP DC-8 NAVIGATION AND HOUSEKEEPING DATA,NASA DC-8,GPSP,FLIGHT LEVEL WINDS,GRIP,,gripnavdc8,ATMOSPHERE,ATMOSPHERIC WINDS,AIRCRAFT
GRIP DC-8 NAVIGATION AND HOUSEKEEPING DATA,NASA DC-8,TEMPERATURE PROBES,AIR TEMPERATURE,GRIP,,gripnavdc8,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,AIRCRAFT
GPM GROUND VALIDATION AUTONOMOUS PARSIVEL UNIT (APU) LPVEX,GROUND-BASED OBSERVATIONS,DISDROMETERS,RAIN,LPVEX,,gpmpalpvex,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION AUTONOMOUS PARSIVEL UNIT (APU) LPVEX,GROUND-BASED OBSERVATIONS,APU,RAIN,LPVEX,,gpmpalpvex,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION AUTONOMOUS PARSIVEL UNIT (APU) LPVEX,GROUND-BASED OBSERVATIONS,DISDROMETERS,DROPLET SIZE,LPVEX,,gpmpalpvex,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION AUTONOMOUS PARSIVEL UNIT (APU) LPVEX,GROUND-BASED OBSERVATIONS,APU,DROPLET SIZE,LPVEX,,gpmpalpvex,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION AUTONOMOUS PARSIVEL UNIT (APU) LPVEX,GROUND-BASED OBSERVATIONS,DISDROMETERS,PRECIPITATION RATE,LPVEX,,gpmpalpvex,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION AUTONOMOUS PARSIVEL UNIT (APU) LPVEX,GROUND-BASED OBSERVATIONS,APU,PRECIPITATION RATE,LPVEX,,gpmpalpvex,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION AUTONOMOUS PARSIVEL UNIT (APU) LPVEX,GROUND-BASED OBSERVATIONS,DISDROMETERS,PRECIPITATION AMOUNT,LPVEX,,gpmpalpvex,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION AUTONOMOUS PARSIVEL UNIT (APU) LPVEX,GROUND-BASED OBSERVATIONS,APU,PRECIPITATION AMOUNT,LPVEX,,gpmpalpvex,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION PLUVIO PRECIPITATION GAUGE LPVEX,GROUND-BASED OBSERVATIONS,RAIN GAUGES,PRECIPITATION AMOUNT,LPVEX,,gpmpllpvex,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION PLUVIO PRECIPITATION GAUGE LPVEX,GROUND-BASED OBSERVATIONS,RAIN GAUGES,PRECIPITATION RATE,LPVEX,,gpmpllpvex,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION PLUVIO PRECIPITATION GAUGE LPVEX,GROUND-BASED OBSERVATIONS,RAIN GAUGES,AIR TEMPERATURE,LPVEX,,gpmpllpvex,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,IN SITU LAND BASED
GRIP DC-8 METEOROLOGICAL MEASUREMENT SYSTEM (MMS),NASA DC-8,GPS,AIRSPEED/GROUND SPEED,GRIP,,gripmms,SPECTRAL/ENGINEERING,PLATFORM CHARACTERISTICS,AIRCRAFT
GRIP DC-8 METEOROLOGICAL MEASUREMENT SYSTEM (MMS),NASA DC-8,AIR MOTION SENSOR,STATIC PRESSURE,GRIP,,gripmms,ATMOSPHERE,ATMOSPHERIC PRESSURE,AIRCRAFT
GPM GROUND VALIDATION TWO-DIMENSIONAL VIDEO DISDROMETER (2DVD) NSSTC,GROUND-BASED OBSERVATIONS,DISDROMETERS,RAIN,GPMGV,,gpm2dnsstc,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION TWO-DIMENSIONAL VIDEO DISDROMETER (2DVD) NSSTC,GROUND-BASED OBSERVATIONS,2DVD,RAIN,GPMGV,,gpm2dnsstc,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION TWO-DIMENSIONAL VIDEO DISDROMETER (2DVD) NSSTC,GROUND-BASED OBSERVATIONS,DISDROMETERS,DROPLET SIZE,GPMGV,,gpm2dnsstc,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION TWO-DIMENSIONAL VIDEO DISDROMETER (2DVD) NSSTC,GROUND-BASED OBSERVATIONS,2DVD,DROPLET SIZE,GPMGV,,gpm2dnsstc,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION TWO-DIMENSIONAL VIDEO DISDROMETER (2DVD) NSSTC,GROUND-BASED OBSERVATIONS,DISDROMETERS,HYDROMETEORS,GPMGV,,gpm2dnsstc,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION TWO-DIMENSIONAL VIDEO DISDROMETER (2DVD) NSSTC,GROUND-BASED OBSERVATIONS,2DVD,HYDROMETEORS,GPMGV,,gpm2dnsstc,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION TWO-DIMENSIONAL VIDEO DISDROMETER (2DVD) NSSTC,GROUND-BASED OBSERVATIONS,DISDROMETERS,PRECIPITATION RATE,GPMGV,,gpm2dnsstc,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION TWO-DIMENSIONAL VIDEO DISDROMETER (2DVD) NSSTC,GROUND-BASED OBSERVATIONS,2DVD,PRECIPITATION RATE,GPMGV,,gpm2dnsstc,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION TWO-DIMENSIONAL VIDEO DISDROMETER (2DVD) NSSTC,GROUND-BASED OBSERVATIONS,DISDROMETERS,PRECIPITATION AMOUNT,GPMGV,,gpm2dnsstc,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION TWO-DIMENSIONAL VIDEO DISDROMETER (2DVD) NSSTC,GROUND-BASED OBSERVATIONS,2DVD,PRECIPITATION AMOUNT,GPMGV,,gpm2dnsstc,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION AUTONOMOUS PARSIVEL UNIT (APU) NSSTC,GROUND-BASED OBSERVATIONS,DISDROMETERS,RAIN,GPMGV,,gpmpansstc,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION AUTONOMOUS PARSIVEL UNIT (APU) NSSTC,GROUND-BASED OBSERVATIONS,APU,RAIN,GPMGV,,gpmpansstc,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION AUTONOMOUS PARSIVEL UNIT (APU) NSSTC,GROUND-BASED OBSERVATIONS,DISDROMETERS,DROPLET SIZE,GPMGV,,gpmpansstc,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION AUTONOMOUS PARSIVEL UNIT (APU) NSSTC,GROUND-BASED OBSERVATIONS,APU,DROPLET SIZE,GPMGV,,gpmpansstc,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION AUTONOMOUS PARSIVEL UNIT (APU) NSSTC,GROUND-BASED OBSERVATIONS,DISDROMETERS,PRECIPITATION RATE,GPMGV,,gpmpansstc,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION AUTONOMOUS PARSIVEL UNIT (APU) NSSTC,GROUND-BASED OBSERVATIONS,APU,PRECIPITATION RATE,GPMGV,,gpmpansstc,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION AUTONOMOUS PARSIVEL UNIT (APU) NSSTC,GROUND-BASED OBSERVATIONS,DISDROMETERS,PRECIPITATION AMOUNT,GPMGV,,gpmpansstc,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION AUTONOMOUS PARSIVEL UNIT (APU) NSSTC,GROUND-BASED OBSERVATIONS,APU,PRECIPITATION AMOUNT,GPMGV,,gpmpansstc,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION JOSS-WALDVOGEL DISDROMETER (JW) NSSTC,GROUND-BASED OBSERVATIONS,DISDROMETERS,RAIN,GPMGV,,gpmjwnsstc,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION JOSS-WALDVOGEL DISDROMETER (JW) NSSTC,GROUND-BASED OBSERVATIONS,JOSS-WALDVOGEL DISDROMETER,RAIN,GPMGV,,gpmjwnsstc,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION JOSS-WALDVOGEL DISDROMETER (JW) NSSTC,GROUND-BASED OBSERVATIONS,DISDROMETERS,DROPLET SIZE,GPMGV,,gpmjwnsstc,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION JOSS-WALDVOGEL DISDROMETER (JW) NSSTC,GROUND-BASED OBSERVATIONS,JOSS-WALDVOGEL DISDROMETER,DROPLET SIZE,GPMGV,,gpmjwnsstc,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION JOSS-WALDVOGEL DISDROMETER (JW) NSSTC,GROUND-BASED OBSERVATIONS,DISDROMETERS,PRECIPITATION RATE,GPMGV,,gpmjwnsstc,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION JOSS-WALDVOGEL DISDROMETER (JW) NSSTC,GROUND-BASED OBSERVATIONS,JOSS-WALDVOGEL DISDROMETER,PRECIPITATION RATE,GPMGV,,gpmjwnsstc,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION JOSS-WALDVOGEL DISDROMETER (JW) NSSTC,GROUND-BASED OBSERVATIONS,DISDROMETERS,PRECIPITATION AMOUNT,GPMGV,,gpmjwnsstc,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION JOSS-WALDVOGEL DISDROMETER (JW) NSSTC,GROUND-BASED OBSERVATIONS,JOSS-WALDVOGEL DISDROMETER,PRECIPITATION AMOUNT,GPMGV,,gpmjwnsstc,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION TWO-DIMENSIONAL VIDEO DISDROMETER (2DVD) LPVEX,GROUND-BASED OBSERVATIONS,DISDROMETERS,RAIN,LPVEX,,gpm2dlpvex,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION TWO-DIMENSIONAL VIDEO DISDROMETER (2DVD) LPVEX,GROUND-BASED OBSERVATIONS,2DVD,RAIN,LPVEX,,gpm2dlpvex,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION TWO-DIMENSIONAL VIDEO DISDROMETER (2DVD) LPVEX,GROUND-BASED OBSERVATIONS,DISDROMETERS,DROPLET SIZE,LPVEX,,gpm2dlpvex,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION TWO-DIMENSIONAL VIDEO DISDROMETER (2DVD) LPVEX,GROUND-BASED OBSERVATIONS,2DVD,DROPLET SIZE,LPVEX,,gpm2dlpvex,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION TWO-DIMENSIONAL VIDEO DISDROMETER (2DVD) LPVEX,GROUND-BASED OBSERVATIONS,DISDROMETERS,HYDROMETEORS,LPVEX,,gpm2dlpvex,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION TWO-DIMENSIONAL VIDEO DISDROMETER (2DVD) LPVEX,GROUND-BASED OBSERVATIONS,2DVD,HYDROMETEORS,LPVEX,,gpm2dlpvex,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION TWO-DIMENSIONAL VIDEO DISDROMETER (2DVD) LPVEX,GROUND-BASED OBSERVATIONS,DISDROMETERS,PRECIPITATION RATE,LPVEX,,gpm2dlpvex,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION TWO-DIMENSIONAL VIDEO DISDROMETER (2DVD) LPVEX,GROUND-BASED OBSERVATIONS,2DVD,PRECIPITATION RATE,LPVEX,,gpm2dlpvex,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION TWO-DIMENSIONAL VIDEO DISDROMETER (2DVD) LPVEX,GROUND-BASED OBSERVATIONS,DISDROMETERS,PRECIPITATION AMOUNT,LPVEX,,gpm2dlpvex,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GPM GROUND VALIDATION TWO-DIMENSIONAL VIDEO DISDROMETER (2DVD) LPVEX,GROUND-BASED OBSERVATIONS,2DVD,PRECIPITATION AMOUNT,LPVEX,,gpm2dlpvex,ATMOSPHERE,PRECIPITATION,IN SITU LAND BASED
GRIP DC-8 METEOROLOGICAL MEASUREMENT SYSTEM (MMS),NASA DC-8,AIR MOTION SENSOR,AIRSPEED/GROUND SPEED,GRIP,,gripmms,SPECTRAL/ENGINEERING,PLATFORM CHARACTERISTICS,AIRCRAFT
GRIP DC-8 METEOROLOGICAL MEASUREMENT SYSTEM (MMS),NASA DC-8,AIR MOTION SENSOR,TOTAL PRESSURE,GRIP,,gripmms,SPECTRAL/ENGINEERING,SENSOR CHARACTERISTICS,AIRCRAFT
GRIP DC-8 METEOROLOGICAL MEASUREMENT SYSTEM (MMS),NASA DC-8,PITOT-STATIC SYSTEM,AIRSPEED/GROUND SPEED,GRIP,,gripmms,SPECTRAL/ENGINEERING,PLATFORM CHARACTERISTICS,AIRCRAFT
GRIP DC-8 METEOROLOGICAL MEASUREMENT SYSTEM (MMS),NASA DC-8,PITOT-STATIC SYSTEM,STATIC PRESSURE,GRIP,,gripmms,ATMOSPHERE,ATMOSPHERIC PRESSURE,AIRCRAFT
SEDIMENT ANALYSIS NETWORK FOR DECISION SUPPORT (SANDS) MODIS GEOTIFF,AQUA,MODIS,SEDIMENTS,SANDS,,smgeo,LAND SURFACE,EROSION/SEDIMENTATION,SATELLITE
SEDIMENT ANALYSIS NETWORK FOR DECISION SUPPORT (SANDS) MODIS GEOTIFF,AQUA,MODIS,SEDIMENT TRANSPORT,SANDS,,smgeo,OCEANS,COASTAL PROCESSES,SATELLITE
SEDIMENT ANALYSIS NETWORK FOR DECISION SUPPORT (SANDS) MODIS GEOTIFF,AQUA,MODIS,SEDIMENTATION,SANDS,,smgeo,OCEANS,COASTAL PROCESSES,SATELLITE
SEDIMENT ANALYSIS NETWORK FOR DECISION SUPPORT (SANDS) MODIS GEOTIFF,TERRA,MODIS,SEDIMENTS,SANDS,,smgeo,LAND SURFACE,EROSION/SEDIMENTATION,SATELLITE
SEDIMENT ANALYSIS NETWORK FOR DECISION SUPPORT (SANDS) MODIS GEOTIFF,TERRA,MODIS,SEDIMENT TRANSPORT,SANDS,,smgeo,OCEANS,COASTAL PROCESSES,SATELLITE
SEDIMENT ANALYSIS NETWORK FOR DECISION SUPPORT (SANDS) MODIS GEOTIFF,TERRA,MODIS,SEDIMENTATION,SANDS,,smgeo,OCEANS,COASTAL PROCESSES,SATELLITE
SEDIMENT ANALYSIS NETWORK FOR DECISION SUPPORT (SANDS) MODIS GULF SUBSETTED,AQUA,MODIS,SEDIMENTS,SANDS,,smsub,LAND SURFACE,EROSION/SEDIMENTATION,SATELLITE
SEDIMENT ANALYSIS NETWORK FOR DECISION SUPPORT (SANDS) MODIS GULF SUBSETTED,AQUA,MODIS,SEDIMENT TRANSPORT,SANDS,,smsub,OCEANS,COASTAL PROCESSES,SATELLITE
SEDIMENT ANALYSIS NETWORK FOR DECISION SUPPORT (SANDS) MODIS GULF SUBSETTED,AQUA,MODIS,SEDIMENTATION,SANDS,,smsub,OCEANS,COASTAL PROCESSES,SATELLITE
SEDIMENT ANALYSIS NETWORK FOR DECISION SUPPORT (SANDS) MODIS GULF SUBSETTED,TERRA,MODIS,SEDIMENTS,SANDS,,smsub,LAND SURFACE,EROSION/SEDIMENTATION,SATELLITE
SEDIMENT ANALYSIS NETWORK FOR DECISION SUPPORT (SANDS) MODIS GULF SUBSETTED,TERRA,MODIS,SEDIMENT TRANSPORT,SANDS,,smsub,OCEANS,COASTAL PROCESSES,SATELLITE
SEDIMENT ANALYSIS NETWORK FOR DECISION SUPPORT (SANDS) MODIS GULF SUBSETTED,TERRA,MODIS,SEDIMENTATION,SANDS,,smsub,OCEANS,COASTAL PROCESSES,SATELLITE
GRIP DC-8 METEOROLOGICAL MEASUREMENT SYSTEM (MMS),NASA DC-8,PITOT-STATIC SYSTEM,TOTAL PRESSURE,GRIP,,gripmms,SPECTRAL/ENGINEERING,SENSOR CHARACTERISTICS,AIRCRAFT
GRIP DC-8 METEOROLOGICAL MEASUREMENT SYSTEM (MMS),NASA DC-8,TEMPERATURE PROBES,TOTAL TEMPERATURE,GRIP,,gripmms,SPECTRAL/ENGINEERING,SENSOR CHARACTERISTICS,AIRCRAFT
GRIP DC-8 METEOROLOGICAL MEASUREMENT SYSTEM (MMS),NASA DC-8,TEMPERATURE PROBES,AIR TEMPERATURE,GRIP,,gripmms,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,AIRCRAFT
GRIP DC-8 METEOROLOGICAL MEASUREMENT SYSTEM (MMS),NASA DC-8,INS,AIRSPEED/GROUND SPEED,GRIP,,gripmms,SPECTRAL/ENGINEERING,PLATFORM CHARACTERISTICS,AIRCRAFT
GRIP DC-8 METEOROLOGICAL MEASUREMENT SYSTEM (MMS),NASA DC-8,AIRCRAFT MOTION SENSOR,AIRSPEED/GROUND SPEED,GRIP,,gripmms,SPECTRAL/ENGINEERING,PLATFORM CHARACTERISTICS,AIRCRAFT
GRIP HIGH-ALTITUDE MMIC SOUNDING RADIOMETER (HAMSR),GLOBAL HAWK UAV,HAMSR,AIR TEMPERATURE,GRIP,,griphamsr,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,AIRCRAFT
GRIP HIGH-ALTITUDE MMIC SOUNDING RADIOMETER (HAMSR),GLOBAL HAWK UAV,HAMSR,WATER VAPOR,GRIP,,griphamsr,ATMOSPHERE,ATMOSPHERIC WATER VAPOR,AIRCRAFT
GRIP HIGH-ALTITUDE MMIC SOUNDING RADIOMETER (HAMSR),GLOBAL HAWK UAV,HAMSR,WATER VAPOR PROFILES,GRIP,,griphamsr,ATMOSPHERE,ATMOSPHERIC WATER VAPOR,AIRCRAFT
GRIP HIGH-ALTITUDE MMIC SOUNDING RADIOMETER (HAMSR),GLOBAL HAWK UAV,HAMSR,BRIGHTNESS TEMPERATURE,GRIP,,griphamsr,SPECTRAL/ENGINEERING,INFRARED WAVELENGTHS,AIRCRAFT
GRIP LIDAR ATMOSPHERIC SENSING EXPERIMENT (LASE),NASA DC-8,LASE,ATMOSPHERIC SCATTERING RATIO,GRIP,,griplase,ATMOSPHERE,AEROSOLS,AIRCRAFT
GRIP LIDAR ATMOSPHERIC SENSING EXPERIMENT (LASE),NASA DC-8,LASE,AEROSOL EXTINCTION,GRIP,,griplase,ATMOSPHERE,AEROSOLS,AIRCRAFT
GRIP LIDAR ATMOSPHERIC SENSING EXPERIMENT (LASE),NASA DC-8,LASE,AEROSOL OPTICAL DEPTH/THICKNESS,GRIP,,griplase,ATMOSPHERE,AEROSOLS,AIRCRAFT
GRIP LIDAR ATMOSPHERIC SENSING EXPERIMENT (LASE),NASA DC-8,DIAL,WATER VAPOR PROFILES,GRIP,,griplase,ATMOSPHERE,ATMOSPHERIC WATER VAPOR,AIRCRAFT
GRIP LIDAR ATMOSPHERIC SENSING EXPERIMENT (LASE),NASA DC-8,DIAL,WATER VAPOR,GRIP,,griplase,ATMOSPHERE,ATMOSPHERIC WATER VAPOR,AIRCRAFT
GRIP LIDAR ATMOSPHERIC SENSING EXPERIMENT (LASE),NASA DC-8,DIAL,HUMIDITY,GRIP,,griplase,ATMOSPHERE,ATMOSPHERIC WATER VAPOR,AIRCRAFT
GRIP LIDAR ATMOSPHERIC SENSING EXPERIMENT (LASE),NASA DC-8,DIAL,AEROSOL BACKSCATTER,GRIP,,griplase,ATMOSPHERE,AEROSOLS,AIRCRAFT
GRIP LIDAR ATMOSPHERIC SENSING EXPERIMENT (LASE),NASA DC-8,DIAL,ATMOSPHERIC SCATTERING RATIO,GRIP,,griplase,ATMOSPHERE,AEROSOLS,AIRCRAFT
GRIP LIDAR ATMOSPHERIC SENSING EXPERIMENT (LASE),NASA DC-8,DIAL,AEROSOL EXTINCTION,GRIP,,griplase,ATMOSPHERE,AEROSOLS,AIRCRAFT
GRIP LIDAR ATMOSPHERIC SENSING EXPERIMENT (LASE),NASA DC-8,DIAL,AEROSOL OPTICAL DEPTH/THICKNESS,GRIP,,griplase,ATMOSPHERE,AEROSOLS,AIRCRAFT
