COLLECTION,DATASET_NAME,PROC_LEVEL,DS_START_DATE,DS_STOP_DATE,DS_N_LAT,DS_S_LAT,DS_W_LON,DS_E_LON,LOCATION,FORMAT,TEMP_RESOLUTION,SPATIAL_RESOLUTION,CONTACT,PHONE,INV_NAME,BROWSE_AVAIL,DIF,DS_COMMENTS,IMS_VISIBLE,DS_SHORT_NAME,DIF_ORIGIN,SDPN,RESTRICTED_COMMENTS,IMS_DATE,DS_FTP_URL,LOCAL_VISIBLE,LOCAL_DATE,TRANS_START_DATE,TRANS_STOP_DATE,TRANS_NEW_HOME,LAST_REVIEW_DATE,DISPLAY_DS_NAME,SPONSOR,CATALOG_NAME,SUB_INV,DP_VISIBLE,DP_DATE,DS_TYPE,DP_DIR_PATH,NAV_INV,NAV_DS,BR_FTP_PATH,DATA_LOC,SUBSET_AVAIL,VERSION,COORD_SYSTEM,GRANULE_SPATIAL_REPR,ECHOID,DP_START_DATE,DP_STOP_DATE,REGISTRATION,PERIODIC_UPDATE,INV_COORD,ENTERED,PUSH_LOCALPATH,PUSH_ENABLED,PUSH_DISABLEDBY,PUSH_DISABLEDON,PUSH_BECAUSE
Radar Products,CAMEX-4 NOAA WP-3D RADAR,1B,3-Sep-01,19-Sep-01,50,10,-100,-60,GULF OF MEXICO,NATIVE,1 FLIGHT,,NANCY GRIFFIN,256-961-7932,CAMEX_INV,N,c4p3rad,"The NOAA WP-3D Orion aircraft has two separate research radars to collect meteorological data. One is mounted on the lower fuselage (C-band), and the other is located in the tail (X-band). Data from these radars consists of reflectivity in range and azimuth coordinates collected either in the horizontal (lower fuselage) or vertical (tail radar) planes.  Doppler radial velocity is also collected by the tail radar.",Y,c4p3rad,GHRC,,,20-Dec-02,,Y,18-Dec-02,,,,6-Jul-11,CAMEX-4 NOAA WP-3D Radar,CAMEX-4,,,,,,,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,CAMEX-4 NOAA WP-3D RADAR V1,,,0,0,0,18-Dec-02,,,,,
Radar Products,CAMEX-4 NASA PORTABLE S-BAND MULTIPARAMETER WX RESEARCH RADAR,1B,17-Aug-01,28-Sep-01,50,10,-100,-60,ATLANTIC OCEAN,UNIV RADAR,DAILY,150km 1.4 degree,DR JOHN GERLACH,256-961-7932,CAMEX_INV,N,c4gnpol,"The NASA Portable S-band Multiparameter Weather Research Radar (NPOL) is a Doppler S-band radar that when used continuous operation provides a full volume scan every ten minutes. Scans may be either 300 Km long range scans or 150 Km range for most high resolution data scans. Products available include real time PPI scans of reflectivities and velocities, and near real time displays of other radar products, including RHI's, CAPPI's, and Polarimetric products. Browse imagery is available for PPI reflectivities.",Y,c4gnpol,GHRC,,,20-Dec-02,ftp://camextest.nsstc.nasa.gov/camex4/datax4/NPOL/,Y,18-Dec-02,,,,6-Jul-11,CAMEX-4 NASA Portable S-band Multiparameter Wx Research Radar,CAMEX-4,,,,,,/ftp/public/camex4/NPOL/data/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,CAMEX-4 NASA PORTABLE S-BAND MULTIPARAMETER WX RESEARCH RADAR V1,,,1,0,0,18-Dec-02,,,,,
Radar Products,CAMEX-4 TOGA RADAR,1B,15-Aug-01,28-Sep-01,50,10,-100,-60,GULF OF MEXICO,UNIV RADAR,DAILY,150km 1.5 degree,DR JOHN GERLACH,256-961-7932,CAMEX_INV,N,c4gtoga,The TOGA radar dataset consists of browse and radar data collected from the TOGA radar during the CAMEX-4 experiment. TOGA is a C-band linear polarized doppler radar using 500KW of radiated power. Products available include real time PPI scans of reflectivities and Doppler velocities.,Y,c4gtoga,GHRC,,,20-Dec-02,ftp://camextest.nsstc.nasa.gov/camex4/datax4/TOGA/,Y,18-Dec-02,,,,6-Jul-11,CAMEX-4 TOGA Radar,CAMEX-4,,,,,,/ftp/public/camex4/TOGA/data/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,CAMEX-4 TOGA RADAR V1,,,1,0,0,18-Dec-02,,,,,
CAMEX-3 Products,CAMEX-3 MISSION REPORTS,1B,8-Aug-98,13-Sep-98,50,10,-105,-50,ATLANTIC OCEAN,ASCII,DAILY,,RICHARD WOHLMAN,256-961-7932,CAMEX_INV,N,cmx3misrep,"The Convection And Moisture EXperiment (CAMEX)-3 Mission Reports were filed every day that an aircraft flew in support of the experiment. The reports include a short description of the day's mission, its objective, and notes.",Y,cmx3misrep,GHRC,,,24-Jan-03,ftp://ghrc/nsstc/nasa.gov/pub2/data/camex3/cmx3misrep/,Y,22-Jan-03,,,,1-Jul-10,CAMEX-3 Mission Reports,CAMEX-3,,,,,,/ftp/public/camex3/cmx3misrep/data/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,CAMEX-3 MISSION REPORTS V1,,,1,0,0,22-Jan-03,,,,,
CAMEX-4 Products,CAMEX-4 NOAA WP-3D CLOUD PHYSICS,1B,3-Sep-01,19-Sep-01,50,10,-100,-60,GULF OF MEXICO,RADAR DATA,FLIGHT,,ROBERT BLACK,256-961-7932,CAMEX_INV,N,c4p3cp,"The NOAA WP-3D Orion aircraft has multiple meteorological and microphysical sensors. These include, for example, cloud particle imagers and temperature and dewpoint probes. This dataset includes navigation data as well as the meteorological and microphysical data for each mission.",Y,c4p3cp,GHRC,,,14-Feb-03,,Y,11-Feb-03,,,,6-Jul-11,CAMEX-4 NOAA WP-3D Cloud Physics,CAMEX-4,,,,,,,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,CAMEX-4 NOAA WP-3D CLOUD PHYSICS V1,,,0,0,0,11-Feb-03,,,,,
CAMEX-4 Products,CAMEX-4 ANDROS ISLAND RAWINSONDE AND RADIOSONDES,1B,16-Aug-01,24-Sep-01,25,24.5,-78,-77.5,WESTERN ATLANTIC,ASCII,DAILY,,FRANK SCHMIDLIN,256-961-7932,CAMEX_INV,N,c4gandros,"Numerous  Rawinsondes (radiosondes) were launched from Andros Island in support of CAMEX-4. These sondes provided Atmospheric soundings of temperature, pressure, relative humidity, wind, and altitude.",Y,c4gandros,GHRC,M-306,,22-May-02,ftp://camextest.nsstc.nasa.gov/camex4/datax4/Andros_Island_Rawinsonde/,Y,22-May-02,,,,6-Jul-11,CAMEX-4 Andros Island Rawinsonde and Radiosondes,CAMEX-4,,,,,,/ftp/public/camex4/Andros_Island_Rawinsonde/data/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,CAMEX-4 ANDROS ISLAND RAWINSONDE AND RADIOSONDES V1,,,1,0,0,22-May-02,,,,,
Passive Microwave Products,CAMEX-3 AMPR BRIGHTNESS TEMPERATURE (TB),1B,8-Aug-98,27-Sep-98,37.12,13.98,-122.42,-63.22,US ATLANTIC,ASCII,1 FLIGHT,,FRANK LAFONTAINE,256-922-5796,CLIMAT_INV,Y,amprtbcx3,"The Advanced Microwave Precipitation Radiometer (AMPR) was deployed during the Third Convection and Moisture Experiment (CAMEX-3). AMPR data were collected at four microwave frequencies (10.7, 19.35, 37.1 and 85.5 GHz) for the period of 31 July 1999 through 27 September 1999. The CAMEX-3 mission was to study hurricanes over land and ocean in the U.S., Gulf of Mexico, Carribean, and Western Atlantic Ocean in coordination with multiple aircraft and research-quality radar, lightning, radiosonde and raingage sites.",Y,amprtbcx3,GHRC,M-257,,23-Jul-99,,Y,23-Jul-99,,,,6-Jul-11,CAMEX-3 AMPR Brightness Temperature (TB),CAMEX-3,Advanced Microwave Precipitation Radiometer (AMPR) Data Sets,,,,,/web/ftp/camex3/amprtbcx3/data/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,CAMEX-3 AMPR BRIGHTNESS TEMPERATURE (TB) V1,,,1,0,0,23-Jul-99,,,,,
NAMMA Products,NAMMA NASA POLARIMETRIC DOPPLER WEATHER RADAR (NPOL),1B,19-Aug-06,30-Sep-06,30,-5,-50,10,AFRICA,URF,FLIGHT,N/A,PAUL KUCERA,757-824-1515,CAMEX_INV,Y,namnpol,"The NASA Polarimetric Radar (NPOL), developed by a research team from Wallops Flight Facility, is a fully transportable and self-contained S-band research radar that collected and operated nearly continuously during NAMMA.  Data was collected 19 August through 30 September 2006, at Kawsara, Senegal.  Its continuous operation provides a full volume scan every fifteen minutes. Scans may be either 270 Km long range scans or 150 Km range for most high resolution data scans. Products available include real time PPI scans of reflectivities and velocities, and near real time displays of other radar products, including RHI's, CAPPI's, and Polarimetric products. Browse imagery is available for PPI reflectivities.",Y,namnpol,GHRC,,,21-Apr-09,,Y,21-Apr-09,,,,6-Jul-11,NAMMA NASA Polarimetric Doppler Weather Radar (NPOL),NAMMA,,,,,,/ftp/public/namma/Radar-NPOL/data/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,NAMMA NASA POLARIMETRIC DOPPLER WEATHER RADAR (NPOL) V1,,,1,0,0,21-Apr-09,,,,,
Lightning Products,US COMPOSITE LIGHTNING 15MIN TOTAL FROM NATL LIGHTNING NETWORK,3,1-Jan-88,,53,20,-130,-60,CONUS,HDF,15 MIN. SUMMARY,8KM,STEVE GOODMAN,256-922-5891,LITN_INV,Y,goodlightn,"The Lightning Imaging Sensor (LIS) Science Computing Facility (SCF) generates a cloud-to-ground lightning product from the data collected from the U.S. National Lightning Detection Network, a commercial lightning detection network operated by Global Atmospherics, Inc. (GAI), formerly Geomet Data Services. The lightning products are made by binning the number of  flashes that occur over a 15 min period to a pixel (pixel is approximately 8 km by 8 km). The data set begins on July 19, 1994 and continues through the present.  This data is distributed by the Global Hydrology Resource Center (GHRC).",Y,goodlitn,MSFC DAAC,M-32,These data are restricted to collaborators that have a working relationship with the NASA Marshall Space Flight Center (MSFC) Lightning Group.,1-Jan-88,,Y,1-Jan-88,,,LIS,17-Jan-13,US Composite Lightning 15min Total from Natl Lightning Network,LIS SCF,US Composite Lightning Datasets from Natl Lightning Network,,,,,,,,,GHRC,N,1,CARTESIAN,CARTESIAN,US COMPOSITE LIGHTNING 15MIN TOTAL FROM NATL LIGHTNING NETWORK V1,,,0,1,0,1-Jan-88,,,,,
Lightning Products,US COMPOSITE LIGHTNING DAILY TOTAL FROM NATL LIGHTNING NETWORK,3,1-Jan-88,,53,20,-130,-60,CONUS,HDF,DAILY TOTAL,8KM,STEVE GOODMAN,256-922-5891,LITN_INV,Y,daylightn,"The Global Hydrology Resource Center generates a cloud-to-ground lightning product from the data collected from the U.S. National Lightning Detection Network, a commercial lightning detection network operated by Global Atmospherics, Inc. (GAI), formerly Geomet Data Services. The daily products are produced by binning the number of flashes occurring in each pixel (pixel is approximately 8 km by 8 km) during a 24 hr period (00 UTC to 00 UTC). The data set begins on July 8, 1994 and continues through the present.",Y,daylightn,MSFC DAAC,M-127,These data are restricted to collaborators that have a working relationship with the NASA Marshall Space Flight Center (MSFC) Lightning Group.,1-Jan-88,,Y,1-Jan-88,,,LIS,6-Jan-12,US Composite Lightning Daily Total from Natl Lightning Network,LIS SCF,US Composite Lightning Datasets from Natl Lightning Network,,,,,,,,,GHRC,N,1,CARTESIAN,CARTESIAN,US COMPOSITE LIGHTNING DAILY TOTAL FROM NATL LIGHTNING NETWORK V1,,,0,1,0,1-Jan-88,,,,,
CAMEX-3 Products,CAMEX-3 ER-2 NAVIGATION,1,31-Jul-98,28-Sep-98,50,10,-105,-50,CARRIBEAN,GIF ASCII,1 FLIGHT,,RICHARD WOHLMAN,256-922-5932,CAMEX_INV,N,er2nav,"The CAMEX-3 ER-2 Navigation data files contain information recorded by on board navigation and data collection systems. In addition to typical navigation data (e.g. date, time, lat/lon and altitude) it contains outside meteorological parameters such as wind speed and direction and temperature. These ascii text files are recorded every second for the length of the sortie. In addition, graphical representations of these measured parameters are shown in .gif files.",Y,er2nav,GHRC,M-245,,17-May-99,ftp://ghrc.nsstc.nasa.gov/pub2/data/camex3/er2nav/,Y,12-May-99,,,,12-Aug-10,CAMEX-3 ER-2 Navigation,CAMEX-3,,,,,,/ftp/public/camex3/er2nav/data/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,CAMEX-3 ER-2 NAVIGATION V1,,,1,0,0,12-May-99,,,,,
GRIP Products,GRIP GOES 13 VISIBLE AND INFRARED IMAGES,3,15-Aug-10,1-Oct-10,45,0,-100,0,NW Atlantic,PNG,15 MIN FILES,1km(vis) 4km(IR),JOHN HALL,256-961-7502,GRIP_BROWSE_INV,N,gripgoes13B,"The GOES imagery files were produced and archived in near real time here at the Global Hydrology and Climate Center (http://ghcc.nsstc.nasa.gov) throughout the Genesis and Rapid Intensification Processes (GRIP) campaign. These image files were created for use with the Real Time Mission Monitor (RTMM). Generally, GOES-13 images are available for all dates between August 15 and September 30, 2010 at 15 minute intervals throughout this time period.",Y,gripgoes13B,GHRC,,,7-Apr-11,,Y,7-Apr-11,,,,22-May-12,GRIP GOES 13 Visible and Infrared Images,Genesis and Rapid Intensification Processes (GRIP),,,N,,,/ftp/public/grip/GOES_images/browse/GOES-13/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,GRIP GOES 13 VISIBLE AND INFRARED IMAGES V1,,,1,0,0,23-Nov-10,,,,,
GRIP Products,GRIP GLOBAL HAWK NAVIGATION AND HOUSEKEEPING DATA,1,15-Aug-10,24-Sep-10,45,0,-100,0,CARIBBEAN,ASCII/XML,DAILY,,CARL SORENSON,661-276-5971,GRIP_INV,N,gripnavgh,"The GRIP Global Hawk Navigation data was collected during the period Aug 15, 2010 to September 24, 2010 during the GRIP field campaign.  The Global Hawk is an unmanned Airborne System configured with in situ and remote sensing instruments, including the Lightning Imaging Package(LIP), High Altitude Wind and Rain Profiler (HIWRAP), and High Altitude MMIC Sounding Radiometer (HAMSR).  Data was collected for 7 dates and is in the IWGADTS IWG1 format.  The dataset also includes XML files containing metadata documenting the parameters and their format collected during each day's flight.",Y,gripnavgh,GHRC,,,15-Mar-11,,Y,15-Mar-11,,,,14-Mar-11,GRIP Global Hawk Navigation and Housekeeping Data,Genesis and Rapid Intensification Processes (GRIP),,,N,,,/ftp/public/grip/NAV_GH/data/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,GRIP GLOBAL HAWK NAVIGATION AND HOUSEKEEPING DATA V1,,,1,0,0,4-Feb-11,,,,,
GRIP Products,GRIP METEOSAT SECOND GENERATION (MSG) IMAGE DATA,1,15-Aug-10,30-Sep-10,45,0,-100,0,NW Atlantic,BINARY,15 MINUTE FILES,,EUMETSAT,4.90615E+12,GRIP_INV,Y,gripmsg,"The GRIP Meteosat Second Generation (MSG) data and browse was collected during the Genesis and Rapid Intensification Processes (GRIP) experiment from 15 Aug 2010 to 30 Sep 2010.  Infrared and visible radiances, and water vapor were collected.  Meteosat Second Generation (MSG) consists of a series of four geostationary meteorological satellites, along with ground-based infrastructure, that will operate consecutively until 2020.  The MSG system is established under cooperation between The European Organization for the Exploitation of Meteorological Satellites (EUMETSAT) and the European Space Agency (ESA) to ensure the continuity of meteorological observations from geostationary orbit.  The MSG satellites carry an impressive pair of instruments, the Spinning Enhanced Visible and InfraRed Imager (SEVIRI), which has the capacity to observe the Earth in 12 spectral channels and provide image data which is core to operational forecasting needs, and the Geostationary Earth Radiation Budget (GERB) instrument supporting climate studies.",Y,gripmsg,GHRC,,,21-Jun-11,,Y,21-Jun-11,,,,22-May-12,GRIP Meteosat Second Generation (MSG) Image Data,Genesis and Rapid Intensification Processes (GRIP),,,N,,,/ftp/public/grip/MSG/data/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,GRIP METEOSAT SECOND GENERATION (MSG) IMAGE DATA V1,,,1,0,0,15-Mar-11,,,,,
GRIP Products,GRIP DOPPLER AEROSOL WIND LIDAR (DAWN),1,24-Aug-10,22-Sep-10,45,0,-100,0,ATLANTIC OCEAN,ASCII,13 SEC,along-track 3.0 km,MICHAEL KAVAYA,757-864-1601,GRIP_INV,Y,gripdawn,"The Doppler Aerosol WiNd (DAWN), a pulsed lidar, operated aboard a NASA DC-8 aircraft during the Genesis and Rapid Intensification Processes (GRIP) field campaign.  Data values include LOS Winds, calculated vertical profiles of horizontal wind velocity, frequency-domain signal energy and time versus latitude and longitude.  Instrument details can be found in the dataset documentation.  Data was gathered during August -September 2010 over the Atlantic Ocean.",Y,gripdawn,GHRC,,,4-May-12,,Y,4-May-12,,,,6-Jun-12,GRIP Doppler Aerosol WiNd lidar (DAWN),Genesis and Rapid Intensification Processes (GRIP),,,N,,,/ftp/public/grip/DAWN/data/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,GRIP DOPPLER AEROSOL WIND LIDAR (DAWN) V1,,,1,0,0,30-Apr-12,,,,,
GRIP Products,GRIP FLIGHT TRACKS AND ANIMATIONS,1,13-Aug-10,25-Sep-10,45,0,-100,0,ATLANTIC OCEAN,"AVI,KML",FLIGHT,,MICHAEL GOODMAN,256-961-7890,GRIP_INV,N,gripflt,"The GRIP Flight Tracks and Animations dataset includes both KML files and animation files.  The KML files use Google Earth to show the flight tracks on a map.  The animations vary by type.  Created by the Real-time Mission Monitor (RTMM) software, the .avi files show the flight track versus time superimposed over the GOES IR data.  The National SubOrbital Education and Research Center provided a file in two formats (.mov, .mp4) viewing hurricane Earl from the NASA DC-8 aircraft.  Also a NBC newscast informs the public of the GRIP's goals during the campaign.",Y,gripflt,GHRC,,,9-May-12,,Y,9-May-12,,,,6-Jun-12,GRIP Flight Tracks and Animations,Genesis and Rapid Intensification Processes (GRIP),,,N,,,/ftp/public/grip/Flighttracks/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,GRIP FLIGHT TRACKS AND ANIMATIONS V1,,,1,0,0,8-May-12,,,,,
GPM-GV MC3E Products,GPM GROUND VALIDATION CONICAL SCANNING MILLIMETER-WAVE IMAGING RADIOMETER (COSMIR) MC3E,1B,22-Apr-11,1-Jun-11,43,28,-121,-91,OKLAHOMA,ASCII,10S SCANS IN DAILY,1.6km at nadir,GAIL JACKSON,301-614-5720,GPM_INV,N,gpmcosmirmc3e,"The Conical Scanning Millimeter-wave Imaging Radiometer (CoSMIR) dataset for the Midlatitude Continental Convective Clouds Experiment (MC3E) plays the role as an airborne high-frequency simulator for the GPM Microwave Imager (GMI), which will launch in 2014.  The CoSMIR was modified with a new scan mode to acquire both conical and cross-track scan data simultaneously in a given flight satisfying the requirements of the Precipitation Measurement Mission (PMM) algorithm development team.  The dataset provides well-calibrated radiometric data from 9 channels between 50-183GHz with the accuracy on the order of +-1K.  All channels besides the 89 and 165.5 GHz are horizontally polarized.",Y,gpmcosmirmc3e,GHRC,,,25-May-12,,Y,25-May-12,,,,7-Aug-13,GPM Ground Validation Conical Scanning Millimeter-wave Imaging Radiometer (CoSMIR) MC3E,GPMGV,,,N,,,/ftp/public/gpm_validation/mc3e/cosmir/data/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,GPM GROUND VALIDATION CONICAL SCANNING MILLIMETER-WAVE IMAGING RADIOMETER (COSMIR) MC3E V1,,,1,0,0,24-May-12,,,,,
SSM/I Products,RSS SSMIS OCEAN PRODUCT GRIDS DAILY FROM DMSP F17 NETCDF,2,14-Dec-06,,90,-90,-180,180,GLOBAL,NETCDF,DAILY,.25x.25 degree grid,FRANK WENTZ,707-545-2904,SSMI_INV,Y,rssmif17d,"This dataset is part of the collection of Special Sensor Microwave/Imager (SSM/I) and Special Sensor Microwave Imager Sounder (SSMIS) data products produced as part of NASA's MEaSUREs Program.  Remote Sensing Systems generates SSM/I and SSMIS binary data products using a unified, physically based algorithm to simultaneously retrieve ocean wind speed (at 10 meters), water vapor, cloud water, and rain rate.  The SSMIS data have been carefully intercalibrated on the brightness temperature level with the previous SSM/I and therefore extend this important time series of ocean winds, vapor, cloud and rain values.  This algorithm is a product of 20 years of refinements, improvements, and verifications.  The Global Hydrology Resource Center has reformatted the binary data into a netCDF data product for each temporal group for each satellite.  The netCDF SSMI/SSMIS collection will be available for F8, F10, F11, F12, F14, F15, F17 for each temporal aggregation: daily, 3-day, weekly and monthly.",Y,rssmif17d,GHRC,,,2-Jul-12,,Y,2-Jul-12,,,,12-Dec-12,RSS SSMIS Ocean Product Grids Daily from DMSP F17 netCDF,DISCOVER,,,N,,,/ftp/public/pub/ssmis/f17/daily/data/,,,,GHRC-LT01,N,7,CARTESIAN,CARTESIAN,RSS SSMIS OCEAN PRODUCT GRIDS DAILY FROM DMSP F17 NETCDF V7,,,0,1,0,13-Jun-12,,,,,
GPM-GV LPVEx Products,GPM GROUND VALIDATION CLOUD SPECTROMETER AND IMPACTOR (CIP-2DP) LPVEX,2,6-Aug-10,20-Oct-10,60.29,60.06,25.04,25.37,GULF OF FINLAND,ASCII,1 HR IN DAILY FILE,10mic(2D) 2.3mic(CI),AARON BANSEMER,,GPM_INV,Y,gpmcilpvex,"This Cloud Microphysic dataset provides particle size spectra for the Global Precipitation Measurement (GPM) Misson Ground Validation Experiment collected by the Cloud spectrometer and impactor (CIP) and 2DP (2-dimensional probe) aboard the University of Wyoming King Air flown in Finland during the Light Precipitation Validation Experiment September-October 2010.  Lat, Lon, Altitude, Presssure, Temperature are provided with the total concentration of particles with diameter greater than 100 microns.",Y,gpmcilpvex,GHRC,,,25-Feb-11,,Y,25-Feb-11,,,,3-Jul-13,GPM Ground Validation Cloud Spectrometer and Impactor (CIP-2DP) LPVEx,GPMGV,,,N,,,/ftp/public/gpm_validation/lpvex/cip-2dp/data/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,GPM GROUND VALIDATION CLOUD SPECTROMETER AND IMPACTOR (CIP-2DP) LPVEX V1,,,1,0,0,24-Jan-11,,,,,
GRIP Products,GRIP LANGLEY AEROSOL RESEARCH GROUP EXPERIMENT (LARGE),2,6-Aug-10,22-Sep-10,45,0,-100,0,CARIBBEAN,"ASCII,CSV",DAILY/FLIGHT,200m to 120km,LEE THORNHILL,,GRIP_INV,N,griplarge,"Langley Aerosol Research Group Experiment (LARGE) measures ultrafine aerosol number density, total and non-volatile aerosol number density, dry aerosol size distribution from 0.01 to 10 mm, total and submicron aerosol absorption coefficients at 470, 535, and 670 nm, total and submicron aerosol scattering coefficients at 550 nm, and total scattering and hemispheric backscattering coefficients at 400, 550 and 700 nm.  LARGE derives aerosol size statistics (mode, number and mass mean diameters, etc.), aerosol surface area and mass loading, aerosol extinction, single scattering albedo, and angstrom coefficients.  The GRIP LARGE dataset collected data over the Gulf of Mexico from 6 August 2010 to 22 Sep. 2010.",Y,griplarge,GHRC,,,17-Jun-11,,Y,17-Jun-11,,,,8-Aug-11,GRIP Langley Aerosol Research Group Experiment (LARGE),Genesis and Rapid Intensification Processes (GRIP),,,N,,,/ftp/public/grip/LARGE/data/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,GRIP LANGLEY AEROSOL RESEARCH GROUP EXPERIMENT (LARGE) V1,,,1,0,0,7-Jun-11,,,,,
Sediment Analysis Network for Decision Support,SEDIMENT ANALYSIS NETWORK FOR DECISION SUPPORT (SANDS) MODIS GEOLOGICAL SURVEY OF AL (GSA) ANALYSIS,4,14-Sep-00,8-Sep-08,31,27,-90,-84.25,GULF OF MEXICO COAST,"JPG,PDF,TX",DAILY,,SANDY EBERSOLE,205-247-3613,SANDS_INV,N,smgsa,"The Geological Survey of Alabama (GSA) generated this dataset from geoTIFF MODIS images as part of the Sediment Analysis Network for Decision Support (SANDS) project.  The geoTIFF images were analyzed for sediment redistribution after hurricanes on the Gulf coast.  Daytime images for MODIS Aqua Reflectance bands 8-16 for H10V6 and H10V5 were analyzed for each storm.  These are seasonal data for storms from 2001-2008.  In addition to the analyzed files, the data files include the ESRI files for zipped bands and/or grids, metadata, and storm temporal information for the sediment analysis images.",Y,smgsa,GHRC,,,9-Jul-12,,Y,9-Jul-12,,,,29-Jan-13,Sediment Analysis Network for Decision Support (SANDS) MODIS Geological Survey of AL (GSA) Analysis,Sediment Analysis Network for Decision Support,,,N,,,/ftp/public/pub/data/SANDS/MODIS/GSA/,,,,GHRC-LT01,N,1,CARTESIAN,CARTESIAN,SEDIMENT ANALYSIS NETWORK FOR DECISION SUPPORT (SANDS) MODIS GEOLOGICAL SURVEY OF AL (GSA) ANALYSIS V1,,,0,0,0,2-Jul-12,,,,,
GPM-GV LPVEx Products,GPM GROUND VALIDATION SPECIAL SENSOR MICROWAVE IMAGER/SOUNDER (SSMI/S) LPVEX,1B,1-Sep-10,31-Mar-11,75,45,15,35,FINLAND,XTDR,SWATH IN DAILY TAR,,CHRIS KIDD,301-614-6091,GPM_INV,N,gpmsslpvex,"The SSMI/S LPVEX dataset contains brightness temperature data processed from the NOAA CLASS QC temperature data records for the Light Precipitation Validation Experiment, part of the Global Precipitation Measurement project.  Only data with swaths within the area of interest are included.  The temporal range of the data includes the LPVEx campaign period (Sep/Oct 2010) and extends through the end of March 2011.",Y,gpmsslpvex,GHRC,,,31-Jan-12,,Y,31-Jan-12,,,,3-Jul-13,GPM Ground Validation Special Sensor Microwave Imager/Sounder (SSMI/S) LPVEx,GPMGV,,,N,,,/ftp/public/gpm_validation/lpvex/ssmis/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,GPM GROUND VALIDATION SPECIAL SENSOR MICROWAVE IMAGER/SOUNDER (SSMI/S) LPVEX V1,,,1,0,0,28-Oct-11,,,,,
GPM-GV MC3E Products,GPM GROUND VALIDATION NASA S-BAND DUAL POLARIMETRIC (NPOL) DOPPLER RADAR MC3E,1B,11-Apr-11,3-Jun-11,38,35,-99,-95.5,CENTRAL OKLAHOMA,TGZ,DAILY TAR,125m-300m,JOHN GERLACH,757-824-1515,GPM_INV,Y,gpmnpolmc3e,"The NASA NPOL radar, developed by a research team from Wallops Flight Facility, is a fully transportable and self-contained S-band (10 cm), scanning dual-polarimetric, doppler research radar that collected and operated nearly continuously during the MC3E field campaign.  NPOL scanned in high resolution RHI mode (every 40 sec) and provided measurements of precipitation in liquid, mixed and ice phase.  The scanning strategy emphasized vertical structure sampling via RHI and narrow sector-volume data collections.  Additional files were processed from the UF files using the Colorado State University (CSU) Hydrometeor Identification Algorithm (HID) providing classification of hydrometeors (e.g. rain, drizzle, hail, ice crystals, wet or dry snow, graupel density).  Data was collected from 11 April 2011 through 03 June 2011.",Y,gpmnpolmc3e,GHRC,,,30-Mar-12,,Y,30-Mar-12,,,,7-Aug-13,GPM Ground Validation NASA S-Band Dual Polarimetric (NPOL) Doppler Radar MC3E,GPMGV,,,N,,,/ftp/public/gpm_validation/mc3e/NPOL/data/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,GPM GROUND VALIDATION NASA S-BAND DUAL POLARIMETRIC (NPOL) DOPPLER RADAR MC3E V1,,,1,0,0,13-Mar-12,,,,,
